Title,Authors,Year,Keywords,Abstract,URL
Entrepreneurship education: an experimental study with information and communication technology,"YJ Wu, CH Yuan, CI Pan - Sustainability, 2018 - mdpi.com",2018 - mdpi.com,,"… team to better deliver their business ideas to investors in a … of entrepreneurship education 
on students’ entrepreneurial … value of using ICT tools in entrepreneurship education. Future …",https://www.mdpi.com/269268
Entrepreneurship education: towards an industry sector approach,"I Richardson, B Hynes - Education+ Training, 2008 - emerald.com",2008 - emerald.com,,"… For the Process Framework emphasis is placed on how provision is made to both content 
and delivery to address the skills needs of the ICT student and how they align the relationship …",https://www.emerald.com/insight/content/doi/10.1108/00400910810873973/full/html
Entrepreneurship education–status quo and prospective developments,"A Kuckertz - Journal of entrepreneurship education, 2013 - papers.ssrn.com",2013 - papers.ssrn.com,,"… of entrepreneurship education and to deliver entrepreneurial … students increasingly 
demand that higher education … It is our responsibility as entrepreneurship educators to help …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1862295
Entrepreneurship education and youth empowerment in contemporary Nigeria,"OA Adegun - … Emerging Trends in Educational Research and Policy …, 2013 - journals.co.za",2013 - journals.co.za,,"… It is for this reason that the researcher is looking carefully at entrepreneurship education as 
a way of exposing students … upgraded to deliver the entrepreneurial educational experience …",https://journals.co.za/doi/abs/10.10520/EJC145165
Enterprise education: Influencing students' perceptions of entrepreneurship,"NE Peterman, J Kennedy - Entrepreneurship theory and …, 2003 - journals.sagepub.com",2003 - journals.sagepub.com,,"… of enterprise education on perceptions of entrepreneurship in … it questions what effect 
participation by high school students in … These findings provide support for enterprise education …",https://journals.sagepub.com/doi/pdf/10.1046/j.1540-6520.2003.00035.x
"The emergence of entrepreneurship education: Development, trends, and challenges","DF Kuratko - Entrepreneurship theory and practice, 2005 - journals.sagepub.com",2005 - journals.sagepub.com,,"… of entrepreneurship education as we know it today in the 21st … on students and a lasting 
impact on the entrepreneurship field… mode of delivering entrepreneurship education will continue …",https://journals.sagepub.com/doi/pdf/10.1111/j.1540-6520.2005.00099.x
Enterprise curriculum for creative industries students: An exploration of current attitudes and issues,"C Carey, A Naudin - Education+ Training, 2006 - emerald.com",2006 - emerald.com,,"… relevant curriculum and deliver enterprise education that is pertinent to students who intend 
to … It could also be argued that enterprise education is already embedded in the curriculum of …",https://www.emerald.com/insight/content/doi/10.1108/00400910610705908/full/html
Entrepreneurship education: known worlds and new frontiers,"HM Neck, PG Greene - Journal of small business management, 2011 - Taylor & Francis",2011 - Taylor & Francis,,"… is the ability for students to practice entrepreneurship and we introduce a … Might it be that 
entrepreneurship, using current popular … On the delivery side, as teachers, we use a variety of …",https://www.tandfonline.com/doi/abs/10.1111/j.1540-627X.2010.00314.x
[PDF][PDF] Development of entrepreneurship education programmes for HEI students: The lean start-up approach,"A Paço, J Ferreira, M Raposo - … of Entrepreneurship Education, 2016 - researchgate.net",2016 - researchgate.net,,"… It is consensual that EE plays a critical role in guiding and developing future entrepreneurs, 
since this type of education can provide them with the necessary knowledge and skills to …",https://www.researchgate.net/profile/Asliza-Yusoff/publication/314115002_Tailoring_future_agropreneurs_The_impact_of_academic_institutional_variables_on_entrepreneurial_drive_and_intentions/links/58c29976aca272e36dcff35c/Tailoring-future-agropreneurs-The-impact-of-academic-institutional-variables-on-entrepreneurial-drive-and-intentions.pdf#page=44
[HTML][HTML] Entrepreneurship education at universities: challenges and future perspectives on online game implementation,"T Takemoto, H Oe - Entrepreneurship Education, 2021 - Springer",2021 - Springer,,"… It has been found that the students perceiving activities with … of the study provide a practical 
guidance for entrepreneurship … of entrepreneurship and business education because it is …",https://link.springer.com/article/10.1007/s41959-020-00043-3
Entrepreneurship education: New perspective on entrepreneurship education,"H Matlay - Education+ Training, 2018 - emerald.com",2018 - emerald.com,,"… It emerges that overall entrepreneurship education had a positive impact upon these students’ 
… promises to deliver a more productive entrepreneurship education element for cohorts of …",https://www.emerald.com/insight/content/doi/10.1108/ET-08-2018-212/full/html
Educating scientists and engineers for technology entrepreneurship in the emerging digital era,"W Lamine, S Mian, A Fayolle, JD Linton - Technological forecasting and …, 2021 - Elsevier",2021 - Elsevier,,"… Online free courses on entrepreneurship also allow faculty and students far removed … to 
deliver entrepreneurship education at fab labs and makerspaces may in fact not be sufficient. It …",https://www.sciencedirect.com/science/article/pii/S0040162520313780
[PDF][PDF] Optimizing business education for national development,"TG Oladunjoye - Nigerian Journal of Business Education (NIGJBED …, 2018 - nigjbed.com.ng",2018 - nigjbed.com.ng,,"… courses in business education with an output of thirty students per year to … if business 
education to deliver in its mandate of teaching values and skills for personal survival and natural it …",http://www.nigjbed.com.ng/index.php/nigjbed/article/download/3/3
Learning by failing: What we can learn from un-successful entrepreneurship education,"S Testa, S Frascheri - The International Journal of Management Education, 2015 - Elsevier",2015 - Elsevier,,"… , it is our opinion that, to reach the goal of getting students … To provide students insight into 
the emotions of business … with (or replaced by) methods that provide indirect and/or direct …",https://www.sciencedirect.com/science/article/pii/S1472811714000639
[HTML][HTML] The assessment of entrepreneurial education,"D Morselli, D Morselli - … for Teacher Training in Entrepreneurship Education …, 2019 - Springer",2019 - Springer,,"… a sense of initiative and entrepreneurship (SIE) among students, in educational settings. It 
will do so by … It is delivered in a southern High School in Ohio supported by the Voinovich …",https://link.springer.com/chapter/10.1007/978-3-030-02571-7_2
"Delivering enterprise: A collaborative international approach to the development, implementation and assessment of entrepreneurship","AMJ Smith, RA Paton - International Journal of Entrepreneurial …, 2011 - emerald.com",2011 - emerald.com,,"… delivers tangible outcomes for all concerned: the students, … The desire being to not only 
deliver enterprise education, but … of work; evidence suggests that it has indeed succeeded. In …",https://www.emerald.com/insight/content/doi/10.1108/13552551111107534/full/html
