Title,Authors,Year,Keywords,Abstract,URL,Relevance
Entrepreneurship education: an experimental study with information and communication technology,"YJ Wu, CH Yuan, CI Pan - Sustainability, 2018 - mdpi.com",2018 - mdpi.com,,"… team to better deliver their business ideas to investors in a … of entrepreneurship education 
on students’ entrepreneurial … value of using ICT tools in entrepreneurship education. Future …",https://www.mdpi.com/269268,True
Entrepreneurship education: towards an industry sector approach,"I Richardson, B Hynes - Education+ Training, 2008 - emerald.com",2008 - emerald.com,,"… For the Process Framework emphasis is placed on how provision is made to both content 
and delivery to address the skills needs of the ICT student and how they align the relationship …",https://www.emerald.com/insight/content/doi/10.1108/00400910810873973/full/html,True
Entrepreneurship education–status quo and prospective developments,"A Kuckertz - Journal of entrepreneurship education, 2013 - papers.ssrn.com",2013 - papers.ssrn.com,,"… of entrepreneurship education and to deliver entrepreneurial … students increasingly 
demand that higher education … It is our responsibility as entrepreneurship educators to help …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1862295,True
Entrepreneurship education and youth empowerment in contemporary Nigeria,"OA Adegun - … Emerging Trends in Educational Research and Policy …, 2013 - journals.co.za",2013 - journals.co.za,,"… It is for this reason that the researcher is looking carefully at entrepreneurship education as 
a way of exposing students … upgraded to deliver the entrepreneurial educational experience …",https://journals.co.za/doi/abs/10.10520/EJC145165,True
"The emergence of entrepreneurship education: Development, trends, and challenges","DF Kuratko - Entrepreneurship theory and practice, 2005 - journals.sagepub.com",2005 - journals.sagepub.com,,"… of entrepreneurship education as we know it today in the 21st … on students and a lasting 
impact on the entrepreneurship field… mode of delivering entrepreneurship education will continue …",https://journals.sagepub.com/doi/pdf/10.1111/j.1540-6520.2005.00099.x,True
Entrepreneurship education: known worlds and new frontiers,"HM Neck, PG Greene - Journal of small business management, 2011 - Taylor & Francis",2011 - Taylor & Francis,,"… is the ability for students to practice entrepreneurship and we introduce a … Might it be that 
entrepreneurship, using current popular … On the delivery side, as teachers, we use a variety of …",https://www.tandfonline.com/doi/abs/10.1111/j.1540-627X.2010.00314.x,True
[PDF][PDF] Development of entrepreneurship education programmes for HEI students: The lean start-up approach,"A Paço, J Ferreira, M Raposo - … of Entrepreneurship Education, 2016 - researchgate.net",2016 - researchgate.net,,"… It is consensual that EE plays a critical role in guiding and developing future entrepreneurs, 
since this type of education can provide them with the necessary knowledge and skills to …",https://www.researchgate.net/profile/Asliza-Yusoff/publication/314115002_Tailoring_future_agropreneurs_The_impact_of_academic_institutional_variables_on_entrepreneurial_drive_and_intentions/links/58c29976aca272e36dcff35c/Tailoring-future-agropreneurs-The-impact-of-academic-institutional-variables-on-entrepreneurial-drive-and-intentions.pdf#page=44,True
[HTML][HTML] Entrepreneurship education at universities: challenges and future perspectives on online game implementation,"T Takemoto, H Oe - Entrepreneurship Education, 2021 - Springer",2021 - Springer,,"… It has been found that the students perceiving activities with … of the study provide a practical 
guidance for entrepreneurship … of entrepreneurship and business education because it is …",https://link.springer.com/article/10.1007/s41959-020-00043-3,True
Entrepreneurship education: New perspective on entrepreneurship education,"H Matlay - Education+ Training, 2018 - emerald.com",2018 - emerald.com,,"… It emerges that overall entrepreneurship education had a positive impact upon these students’ 
… promises to deliver a more productive entrepreneurship education element for cohorts of …",https://www.emerald.com/insight/content/doi/10.1108/ET-08-2018-212/full/html,True
Educating scientists and engineers for technology entrepreneurship in the emerging digital era,"W Lamine, S Mian, A Fayolle, JD Linton - Technological forecasting and …, 2021 - Elsevier",2021 - Elsevier,,"… Online free courses on entrepreneurship also allow faculty and students far removed … to 
deliver entrepreneurship education at fab labs and makerspaces may in fact not be sufficient. It …",https://www.sciencedirect.com/science/article/pii/S0040162520313780,True
Learning by failing: What we can learn from un-successful entrepreneurship education,"S Testa, S Frascheri - The International Journal of Management Education, 2015 - Elsevier",2015 - Elsevier,,"… , it is our opinion that, to reach the goal of getting students … To provide students insight into 
the emotions of business … with (or replaced by) methods that provide indirect and/or direct …",https://www.sciencedirect.com/science/article/pii/S1472811714000639,True
[HTML][HTML] Online and blended entrepreneurship education: a systematic review of applied educational technologies,"L Chen, D Ifenthaler, JYK Yau - Entrepreneurship Education, 2021 - Springer",2021 - Springer,,"… we apply it to entrepreneurship education. We conclude that instructors and learners need 
to … One of the aims of this systematic review is to provide guidelines for informing decision-…",https://link.springer.com/article/10.1007/s41959-021-00047-7,True
Entrepreneurship education and employability skills: the mediating role of e-learning courses,"P Mittal, S Raghuvaran - Entrepreneurship Education, 2021 - Springer",2021 - Springer,,"… in terms of “what” and “how” to deliver entrepreneurship education and to foster student’s … 
It is here at this juncture that we believe that entrepreneurship education delivered via e-…",https://link.springer.com/article/10.1007/s41959-021-00048-6,True
It's not an exact science: teaching entrepreneurship in Northern Ireland,"C Hegarty - Education+ Training, 2006 - emerald.com",2006 - emerald.com,,"… student perspectives towards entrepreneurship education, research has proven that 
entrepreneurship education is increasingly valued but it … face challenges in delivering the subject …",https://www.emerald.com/insight/content/doi/10.1108/00400910610677036/full/html,True
Entrepreneurship education: A systematic review of the evidence,"L Pittaway, J Cope - International small business journal, 2007 - journals.sagepub.com",2007 - journals.sagepub.com,,"… then it can be concluded that entrepreneurship education, as a … directly relevant to ‘entrepreneurship 
education’ as defined in … do provide an environmental context within which ‘student …",https://journals.sagepub.com/doi/pdf/10.1177/0266242607080656,True
